epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8393,1.05913,3.6983,0.96132,0.00445,0.25342,0.02866,0.0146,0.45808,3.73587,0.84659,7.5e-05,7.5e-05,7.5e-05
2,74.5577,0.60571,2.90047,0.84894,0.01437,0.843,0.34378,0.27867,0.47427,3.46857,0.83266,0.000159282,0.000159282,0.000159282
3,107.274,0.58265,2.00526,0.83773,0.01609,0.94365,0.46629,0.36655,0.54493,3.18647,0.82553,0.0002401,0.0002401,0.0002401
4,139.852,0.48855,1.3995,0.84288,0.01671,0.96285,0.80142,0.69681,0.4778,2.99405,0.80336,0.000317452,0.000317452,0.000317452
5,172.669,0.4677,1.11242,0.82933,1,0.12784,0.86887,0.76168,0.42758,2.8914,0.79945,0.00039134,0.00039134,0.00039134
6,204.259,0.46489,0.93714,0.84425,1,0.06352,0.92005,0.80326,0.45067,2.81743,0.81591,0.000461763,0.000461763,0.000461763
7,236.737,0.43117,0.78932,0.83471,1,0.19754,0.95371,0.84786,0.48986,2.69154,0.82045,0.00052872,0.00052872,0.00052872
8,268.373,0.44548,0.75912,0.8425,1,0.30911,0.91701,0.86874,0.36141,2.673,0.80967,0.000592213,0.000592213,0.000592213
9,299.794,0.42418,0.67579,0.82579,0.98999,0.50573,0.93104,0.86151,0.38659,2.30801,0.81906,0.00065224,0.00065224,0.00065224
10,333.907,0.41488,0.65045,0.82739,0.97667,0.58907,0.95603,0.87882,0.42037,2.01689,0.81379,0.000708803,0.000708803,0.000708803
11,368.611,0.40563,0.64613,0.82761,0.99986,0.56298,0.93343,0.90154,0.30716,2.1454,0.79108,0.0007619,0.0007619,0.0007619
12,402.598,0.43533,0.63754,0.82661,0.99912,0.90194,0.9775,0.86895,0.49218,1.65864,0.82503,0.000811533,0.000811533,0.000811533
13,437.608,0.46328,0.61958,0.8274,0.98774,0.91292,0.9775,0.88198,0.47183,1.59529,0.82247,0.0008577,0.0008577,0.0008577
14,473.558,0.39842,0.60794,0.81667,0.95852,0.90332,0.97636,0.92804,0.34114,1.44344,0.80718,0.000900402,0.000900402,0.000900402
15,507.023,0.38931,0.58967,0.81915,0.98249,0.96726,0.98111,0.90907,0.35873,1.15682,0.80353,0.0009035,0.0009035,0.0009035
16,540.253,0.39965,0.56422,0.8277,0.99428,0.95832,0.98331,0.9334,0.30963,0.87345,0.79171,0.00087875,0.00087875,0.00087875
17,572.546,0.35918,0.56913,0.82422,0.99194,0.95948,0.98283,0.94252,0.30033,0.89063,0.78712,0.000854,0.000854,0.000854
18,604.95,0.36139,0.5516,0.81188,0.98816,0.96696,0.98277,0.94364,0.29759,0.75122,0.79655,0.00082925,0.00082925,0.00082925
19,638.851,0.33771,0.51656,0.80318,0.99046,0.96966,0.98398,0.95703,0.27993,0.56974,0.79436,0.0008045,0.0008045,0.0008045
20,674.888,0.35297,0.5155,0.82581,0.99005,0.96771,0.984,0.95991,0.24696,0.58512,0.79316,0.00077975,0.00077975,0.00077975
21,708.278,0.33236,0.53649,0.81849,0.98955,0.97041,0.98113,0.95406,0.2567,0.62914,0.79148,0.000755,0.000755,0.000755
22,741.352,0.31906,0.50928,0.80716,0.97803,0.97118,0.97985,0.93889,0.32226,0.58976,0.79325,0.00073025,0.00073025,0.00073025
23,774.212,0.33102,0.49948,0.81152,0.98366,0.96813,0.98378,0.9575,0.22412,0.50067,0.78589,0.0007055,0.0007055,0.0007055
24,806.787,0.32829,0.47645,0.81834,0.98217,0.96159,0.97822,0.96185,0.22805,0.50622,0.78336,0.00068075,0.00068075,0.00068075
25,840.662,0.31012,0.47945,0.8108,0.9907,0.9553,0.97847,0.96018,0.2449,0.49806,0.78303,0.000656,0.000656,0.000656
26,873.841,0.29987,0.46537,0.80796,0.99045,0.96693,0.97944,0.95136,0.2505,0.47631,0.78629,0.00063125,0.00063125,0.00063125
27,907.408,0.31143,0.45991,0.82334,0.9797,0.9687,0.98248,0.9573,0.28021,0.47346,0.78756,0.0006065,0.0006065,0.0006065
28,940.008,0.33492,0.47519,0.80649,0.97719,0.97267,0.98422,0.95714,0.24194,0.45995,0.78355,0.00058175,0.00058175,0.00058175
29,971.37,0.3029,0.4534,0.8103,0.97547,0.97236,0.98422,0.96391,0.20078,0.44733,0.7824,0.000557,0.000557,0.000557
30,1003.5,0.29952,0.44259,0.79676,0.98803,0.97174,0.98446,0.96257,0.23077,0.44117,0.78551,0.00053225,0.00053225,0.00053225
31,1034.84,0.30778,0.44763,0.80866,0.99263,0.97229,0.98422,0.96833,0.21169,0.42571,0.78277,0.0005075,0.0005075,0.0005075
32,1066.28,0.29816,0.447,0.80144,0.99044,0.97243,0.98422,0.96429,0.23825,0.42185,0.78502,0.00048275,0.00048275,0.00048275
33,1097.81,0.30621,0.43383,0.80113,0.9877,0.97266,0.98422,0.96292,0.27077,0.43205,0.78687,0.000458,0.000458,0.000458
34,1129.16,0.29269,0.42013,0.80409,0.98908,0.97146,0.98446,0.96253,0.25849,0.42815,0.78597,0.00043325,0.00043325,0.00043325
35,1160.98,0.28236,0.42563,0.80976,0.99392,0.96547,0.98378,0.96529,0.21391,0.41786,0.78527,0.0004085,0.0004085,0.0004085
36,1192.31,0.27274,0.41727,0.7967,0.99446,0.96051,0.98422,0.95882,0.23588,0.41584,0.78616,0.00038375,0.00038375,0.00038375
37,1223.81,0.27753,0.40509,0.79932,0.99346,0.96076,0.98398,0.95546,0.25325,0.41774,0.78739,0.000359,0.000359,0.000359
38,1255.88,0.29141,0.41816,0.80844,0.99489,0.96327,0.98312,0.95058,0.28538,0.4211,0.78923,0.00033425,0.00033425,0.00033425
39,1287.27,0.26443,0.40005,0.78774,0.99578,0.964,0.98312,0.95301,0.22809,0.41774,0.78754,0.0003095,0.0003095,0.0003095
40,1318.6,0.28058,0.42417,0.79869,0.99185,0.96791,0.98339,0.96842,0.19128,0.40267,0.78467,0.00028475,0.00028475,0.00028475
41,1349.2,0.264,0.43916,0.78554,0.98971,0.96853,0.98339,0.97009,0.19443,0.40493,0.78593,0.00026,0.00026,0.00026
42,1380.6,0.26531,0.44165,0.78337,0.98296,0.96771,0.98378,0.9662,0.24701,0.47236,0.79102,0.00023525,0.00023525,0.00023525
43,1412.29,0.26336,0.46537,0.79587,0.98566,0.96908,0.98422,0.95964,0.28591,0.47666,0.79514,0.0002105,0.0002105,0.0002105
44,1444.23,0.24969,0.44779,0.78113,0.99315,0.97118,0.98422,0.95992,0.25308,0.4194,0.78616,0.00018575,0.00018575,0.00018575
45,1476.22,0.24019,0.42291,0.7814,0.99427,0.97118,0.984,0.96646,0.22495,0.40206,0.78551,0.000161,0.000161,0.000161
46,1507.56,0.25372,0.43127,0.79862,0.9945,0.97118,0.98425,0.96544,0.20824,0.38752,0.78524,0.00013625,0.00013625,0.00013625
47,1539.05,0.22705,0.39958,0.78326,0.99528,0.97118,0.98448,0.96192,0.22299,0.38545,0.78638,0.0001115,0.0001115,0.0001115
48,1569.99,0.21992,0.40075,0.78561,0.99703,0.97378,0.98327,0.96177,0.21486,0.38326,0.78663,8.675e-05,8.675e-05,8.675e-05
49,1600.74,0.22489,0.39811,0.78261,0.99684,0.97374,0.98327,0.96297,0.21392,0.38256,0.78691,6.2e-05,6.2e-05,6.2e-05
50,1632.28,0.22654,0.40765,0.78469,0.99692,0.97354,0.98358,0.9625,0.20964,0.37847,0.78699,3.725e-05,3.725e-05,3.725e-05
